,tconst,all_all_ratings,all_all_v_counts,all_males_ratings,all_males_v_counts,all_females_ratings,all_females_v_counts,under_18_all_ratings,under_18_all_v_counts,under_18_males_ratings,under_18_males_v_counts,under_18_females_ratings,under_18_females_v_counts,f18_29_all_ratings,f18_29_all_v_counts,f18_29_males_ratings,f18_29_males_v_counts,f18_29_females_ratings,f18_29_females_v_counts,f30_44_all_ratings,f30_44_all_v_counts,f30_44_males_ratings,f30_44_males_v_counts,f30_44_females_ratings,f30_44_females_v_counts,f45_all_ratings,f45_all_v_counts,f45_males_ratings,f45_males_v_counts,f45_females_ratings,f45_females_v_counts
10,tt0095386,6.9,2517.0,6.9,1637.0,6.4,233.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,89.0,6.5,63.0,5.5,19.0,6.9,732.0,7.0,623.0,5.8,98.0,6.8,1015.0,6.8,888.0,7.0,111.0
11,tt0095468,8.0,21003.0,8.0,13649.0,8.0,2172.0,8.3,12.0,8.7,7.0,8.0,4.0,8.0,2492.0,8.0,1988.0,8.0,430.0,8.0,9353.0,8.0,8039.0,8.0,1223.0,8.0,3464.0,8.0,3022.0,8.2,404.0
12,tt0095801,7.4,14285.0,7.3,8357.0,7.8,2336.0,8.5,2.0,10.0,1.0,7.0,1.0,7.4,475.0,7.3,313.0,7.7,146.0,7.1,4063.0,7.0,3125.0,7.5,865.0,7.6,5903.0,7.5,4609.0,8.1,1197.0
13,tt0098471,6.2,12251.0,6.1,7938.0,6.6,1392.0,8.0,1.0,8.0,1.0,0.0,0.0,6.6,292.0,6.6,214.0,6.7,70.0,6.2,4449.0,6.2,3698.0,6.6,706.0,6.0,4351.0,6.0,3747.0,6.5,553.0
14,tt0100814,7.1,141739.0,7.1,93026.0,7.1,13661.0,7.2,32.0,7.3,27.0,6.7,3.0,7.0,8371.0,7.1,7037.0,6.9,1129.0,7.1,66154.0,7.1,57109.0,7.0,8209.0,7.2,28331.0,7.2,24363.0,7.2,3574.0
15,tt0108461,6.3,3393.0,6.3,2364.0,6.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,141.0,5.9,116.0,5.2,22.0,6.3,1549.0,6.3,1434.0,6.1,93.0,6.3,814.0,6.3,745.0,5.9,49.0
16,tt0080728,7.5,4784.0,7.5,3115.0,7.3,568.0,8.3,6.0,9.0,3.0,7.3,3.0,7.8,478.0,7.9,364.0,7.3,104.0,7.5,1754.0,7.6,1488.0,7.4,244.0,7.3,1368.0,7.3,1156.0,7.2,199.0
17,tt0087681,6.6,1517.0,6.5,1010.0,6.4,91.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,28.0,6.6,24.0,6.0,2.0,6.5,495.0,6.5,435.0,6.3,47.0,6.6,583.0,6.6,528.0,6.6,39.0
18,tt0087968,6.6,4874.0,6.6,2967.0,6.8,710.0,10.0,1.0,10.0,1.0,0.0,0.0,6.7,124.0,6.6,87.0,7.1,33.0,6.6,1288.0,6.6,1059.0,6.6,218.0,6.7,2192.0,6.7,1727.0,6.8,435.0
19,tt0089413,7.5,1046.0,7.5,704.0,7.6,74.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,59.0,7.7,56.0,8.0,3.0,7.5,532.0,7.5,483.0,7.5,47.0,7.1,149.0,7.1,127.0,7.5,21.0
20,tt0092263,7.4,23889.0,7.4,16559.0,7.3,1221.0,9.0,4.0,9.0,4.0,0.0,0.0,7.6,1608.0,7.6,1394.0,7.5,157.0,7.4,10987.0,7.4,10224.0,7.3,625.0,7.3,4792.0,7.3,4326.0,7.3,377.0
21,tt0092651,7.2,2215.0,7.2,1453.0,7.7,212.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,182.0,7.3,161.0,7.3,21.0,7.2,1029.0,7.1,885.0,7.6,132.0,7.3,404.0,7.2,346.0,8.1,50.0
22,tt0093258,7.3,2952.0,7.3,1520.0,7.5,525.0,7.3,3.0,7.3,3.0,0.0,0.0,7.5,270.0,7.6,164.0,7.2,91.0,7.3,1134.0,7.3,822.0,7.5,294.0,7.2,591.0,7.1,478.0,7.8,105.0
23,tt0093560,6.9,33399.0,6.9,22450.0,7.2,3205.0,9.0,3.0,9.0,3.0,0.0,0.0,6.8,1446.0,6.8,1211.0,6.9,198.0,7.0,16315.0,7.0,14127.0,7.1,1972.0,6.7,7034.0,6.7,6082.0,7.3,853.0
24,tt0094138,7.1,12461.0,7.1,8774.0,6.8,809.0,8.5,2.0,8.5,2.0,0.0,0.0,7.0,374.0,7.0,314.0,6.4,48.0,7.0,4471.0,7.1,4037.0,6.8,385.0,7.1,4466.0,7.1,4061.0,6.9,344.0
25,tt0094351,6.4,1025.0,6.3,717.0,6.3,48.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,46.0,6.4,42.0,6.5,3.0,6.4,485.0,6.4,456.0,6.3,23.0,6.2,219.0,6.2,196.0,6.4,19.0
26,tt0095262,7.3,1825.0,7.3,1148.0,7.2,90.0,9.0,1.0,0.0,0.0,9.0,1.0,7.3,141.0,7.3,118.0,7.4,21.0,7.3,801.0,7.3,747.0,7.3,43.0,7.0,240.0,7.1,217.0,6.6,19.0
27,tt0097443,6.8,17378.0,6.8,12317.0,7.2,1750.0,8.0,2.0,8.0,2.0,0.0,0.0,7.1,1144.0,7.1,933.0,7.3,196.0,6.9,8844.0,6.8,7674.0,7.2,1100.0,6.5,3722.0,6.5,3281.0,6.9,401.0
28,tt0098577,6.1,18795.0,6.0,11974.0,5.9,2196.0,6.6,7.0,6.3,6.0,0.0,0.0,6.3,1690.0,6.2,1348.0,6.3,285.0,6.1,8015.0,6.2,6708.0,5.9,1191.0,5.7,4072.0,5.7,3402.0,5.5,608.0
29,tt0099014,6.4,1030.0,6.4,633.0,6.1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,82.0,6.9,59.0,6.1,16.0,6.5,344.0,6.6,285.0,6.1,53.0,6.1,310.0,6.2,262.0,6.2,41.0
30,tt0100944,6.8,51837.0,6.8,26769.0,7.1,10982.0,6.3,14.0,7.6,9.0,4.7,5.0,6.7,3720.0,6.7,2300.0,6.7,1278.0,6.9,25179.0,6.8,17320.0,7.1,7443.0,6.6,7333.0,6.6,5713.0,7.0,1508.0
31,tt0084780,8.2,3458.0,8.2,2258.0,8.1,410.0,8.0,2.0,8.0,2.0,0.0,0.0,8.4,451.0,8.3,356.0,8.4,89.0,8.2,1654.0,8.3,1395.0,8.0,243.0,7.7,460.0,7.7,408.0,7.5,47.0
32,tt0082894,6.5,5916.0,6.5,3732.0,6.5,736.0,7.7,3.0,8.5,2.0,6.0,1.0,6.8,120.0,6.7,95.0,7.3,24.0,6.5,1403.0,6.5,1132.0,6.4,254.0,6.5,2871.0,6.4,2400.0,6.5,433.0
33,tt0083001,6.1,4197.0,6.1,2863.0,6.2,351.0,9.0,1.0,9.0,1.0,0.0,0.0,6.2,384.0,6.2,330.0,6.1,44.0,6.2,1690.0,6.2,1483.0,6.3,179.0,5.9,1061.0,5.9,922.0,6.1,108.0
34,tt0083336,6.3,10798.0,6.3,7468.0,6.3,834.0,8.0,2.0,8.0,2.0,0.0,0.0,6.3,247.0,6.3,221.0,6.3,22.0,6.1,3312.0,6.2,2945.0,5.8,327.0,6.4,4606.0,6.4,4086.0,6.6,453.0
35,tt0084726,7.7,124055.0,7.7,83239.0,7.6,8744.0,7.9,22.0,8.3,18.0,8.0,4.0,7.7,5012.0,7.7,4286.0,7.8,634.0,7.6,46162.0,7.6,41601.0,7.5,4010.0,7.8,37644.0,7.8,33424.0,7.8,3677.0
36,tt0087910,6.1,15930.0,6.1,11124.0,6.4,1214.0,8.0,1.0,8.0,1.0,0.0,0.0,6.2,250.0,6.2,205.0,6.2,44.0,5.8,4322.0,5.8,3872.0,6.1,395.0,6.2,7491.0,6.2,6650.0,6.5,733.0
37,tt0089901,6.4,12977.0,6.4,9004.0,6.6,647.0,7.0,2.0,8.0,1.0,6.0,1.0,6.0,115.0,6.1,97.0,5.9,17.0,6.2,2960.0,6.2,2751.0,6.3,179.0,6.5,6345.0,6.5,5824.0,6.7,431.0
38,tt0090342,6.2,4164.0,6.2,3025.0,6.2,169.0,7.0,1.0,7.0,1.0,0.0,0.0,6.4,236.0,6.4,218.0,6.2,13.0,6.2,2118.0,6.2,1990.0,6.2,99.0,6.1,746.0,6.1,683.0,6.3,52.0
39,tt0090914,6.3,2092.0,6.2,1220.0,6.6,392.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,76.0,6.5,47.0,6.5,27.0,6.2,632.0,6.1,460.0,6.5,162.0,6.2,865.0,6.2,666.0,6.7,185.0
40,tt0095888,6.5,2280.0,6.5,1655.0,6.5,104.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,248.0,6.4,229.0,5.2,13.0,6.5,1201.0,6.5,1128.0,6.7,60.0,6.3,230.0,6.3,210.0,6.9,19.0
41,tt0098412,6.1,3164.0,6.0,2168.0,6.4,325.0,8.0,1.0,8.0,1.0,0.0,0.0,6.1,81.0,6.1,69.0,6.5,10.0,6.1,1321.0,6.1,1130.0,6.3,165.0,6.0,1051.0,5.9,895.0,6.5,139.0
42,tt0099729,8.0,6965.0,8.0,4677.0,8.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,593.0,8.0,510.0,8.4,81.0,8.0,4145.0,8.1,3547.0,8.0,573.0,7.4,566.0,7.4,469.0,7.3,93.0
43,tt0099763,7.0,37917.0,7.0,25399.0,6.7,3409.0,7.5,12.0,7.7,7.0,7.5,4.0,7.1,2539.0,7.1,2120.0,6.8,355.0,6.9,16657.0,7.0,14466.0,6.5,1991.0,7.0,8958.0,7.0,7897.0,6.8,921.0
44,tt0079891,6.8,4547.0,6.8,3243.0,6.9,290.0,8.0,3.0,9.0,2.0,6.0,1.0,7.1,226.0,7.1,205.0,6.7,18.0,6.8,2218.0,6.8,2028.0,6.9,170.0,6.8,997.0,6.8,894.0,6.9,89.0
45,tt0081363,7.7,2520.0,7.6,1618.0,8.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,185.0,7.6,136.0,7.7,47.0,7.5,1128.0,7.5,897.0,7.9,215.0,8.0,616.0,7.9,529.0,8.6,84.0
46,tt0083630,6.2,23945.0,6.1,16273.0,6.4,1797.0,7.2,5.0,7.5,2.0,6.0,3.0,6.0,330.0,6.0,294.0,6.4,30.0,6.1,7905.0,6.1,7035.0,6.3,753.0,6.2,9259.0,6.2,8219.0,6.5,909.0
47,tt0084591,6.8,1266.0,6.8,721.0,6.8,103.0,8.0,2.0,10.0,1.0,6.0,1.0,6.1,17.0,5.9,15.0,7.0,2.0,6.5,157.0,6.5,135.0,6.5,20.0,6.9,630.0,6.9,549.0,6.9,78.0
48,tt0086429,6.9,6692.0,6.9,4412.0,7.2,738.0,8.5,2.0,10.0,1.0,7.0,1.0,6.9,146.0,6.9,113.0,7.0,32.0,6.7,2012.0,6.7,1777.0,6.7,219.0,7.1,2913.0,7.0,2399.0,7.5,467.0
49,tt0087193,7.1,2748.0,7.1,1837.0,7.5,353.0,7.0,2.0,7.0,1.0,7.0,1.0,7.4,225.0,7.4,185.0,7.6,35.0,7.1,1050.0,7.1,897.0,7.4,143.0,7.1,873.0,7.1,698.0,7.7,168.0
50,tt0087469,7.5,496750.0,7.5,309081.0,7.5,43936.0,7.4,198.0,7.6,153.0,7.0,36.0,7.4,45425.0,7.4,38114.0,7.4,5964.0,7.5,208839.0,7.5,180887.0,7.5,25073.0,7.5,82212.0,7.5,70611.0,7.5,10150.0
51,tt0087747,6.5,12350.0,6.5,7900.0,6.6,1339.0,10.0,1.0,10.0,1.0,0.0,0.0,6.7,298.0,6.7,238.0,6.5,54.0,6.5,3470.0,6.5,2958.0,6.6,468.0,6.4,5246.0,6.4,4415.0,6.6,766.0
52,tt0089838,6.5,3008.0,6.4,1865.0,6.6,351.0,7.5,2.0,9.0,1.0,6.0,1.0,6.2,54.0,6.3,39.0,5.8,14.0,6.2,609.0,6.2,477.0,6.4,121.0,6.6,1503.0,6.5,1284.0,6.9,198.0
53,tt0090575,7.1,1494.0,7.0,1002.0,6.8,91.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,93.0,7.1,82.0,7.3,9.0,7.0,736.0,7.0,673.0,6.4,58.0,7.0,203.0,7.0,182.0,7.0,18.0
54,tt0091939,6.8,15206.0,6.7,8810.0,6.8,1797.0,7.4,10.0,7.9,7.0,6.5,2.0,7.0,1894.0,7.0,1452.0,7.0,371.0,6.8,5240.0,6.7,4288.0,6.8,867.0,6.5,3108.0,6.5,2609.0,6.7,446.0
55,tt0094035,6.7,16806.0,6.7,10745.0,6.8,2096.0,8.2,5.0,8.7,4.0,7.0,1.0,6.8,809.0,6.8,630.0,6.9,153.0,6.7,6721.0,6.7,5552.0,6.6,1077.0,6.7,4971.0,6.7,4131.0,6.9,765.0
56,tt0095134,6.2,1917.0,6.1,1288.0,6.3,113.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,92.0,6.5,71.0,6.2,17.0,6.2,907.0,6.2,815.0,6.5,67.0,5.9,350.0,5.8,318.0,5.6,23.0
57,tt0095649,6.6,1900.0,6.6,1253.0,6.9,216.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,38.0,6.7,27.0,6.0,10.0,6.3,390.0,6.3,329.0,6.4,55.0,6.7,1028.0,6.7,867.0,7.2,148.0
58,tt0095765,8.5,265103.0,8.5,151147.0,8.6,37254.0,8.6,90.0,8.9,68.0,7.5,19.0,8.6,27129.0,8.6,20232.0,8.7,6094.0,8.5,106363.0,8.4,84100.0,8.6,20830.0,8.4,46920.0,8.4,38065.0,8.6,8019.0
59,tt0098536,6.2,72890.0,6.1,44124.0,6.5,10260.0,6.9,8.0,7.0,6.0,6.5,2.0,6.4,2971.0,6.3,2110.0,6.7,781.0,6.2,31328.0,6.1,25116.0,6.5,5830.0,6.0,17832.0,5.9,14565.0,6.5,3000.0
60,tt0122227,8.2,3821.0,8.2,2312.0,8.1,329.0,6.7,3.0,8.0,2.0,4.0,1.0,7.9,437.0,7.9,349.0,7.8,74.0,8.3,1601.0,8.3,1409.0,8.0,178.0,8.2,443.0,8.2,390.0,8.5,48.0
61,tt0246934,6.8,1210.0,6.8,726.0,7.1,189.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,127.0,6.3,79.0,7.0,38.0,7.0,590.0,6.9,467.0,7.3,115.0,6.6,170.0,6.6,144.0,6.2,26.0
62,tt0253966,7.3,2825.0,7.3,1890.0,7.5,107.0,7.0,1.0,7.0,1.0,0.0,0.0,7.4,315.0,7.4,298.0,8.0,12.0,7.3,1355.0,7.3,1273.0,7.6,73.0,7.0,203.0,7.0,188.0,7.0,13.0
63,tt0326143,7.3,1319.0,7.2,905.0,7.3,64.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,76.0,7.4,70.0,6.7,4.0,7.2,731.0,7.1,677.0,7.4,43.0,7.1,112.0,7.0,101.0,7.3,10.0
64,tt0082727,7.2,4499.0,7.2,2867.0,6.9,506.0,10.0,2.0,10.0,2.0,0.0,0.0,7.6,435.0,7.6,368.0,7.4,56.0,7.1,1682.0,7.1,1413.0,7.0,244.0,7.0,1176.0,7.0,967.0,6.8,191.0
65,tt0083625,6.3,1216.0,6.3,804.0,6.5,118.0,6.0,1.0,0.0,0.0,6.0,1.0,6.4,44.0,6.2,28.0,6.9,16.0,6.6,305.0,6.6,267.0,6.3,37.0,6.2,551.0,6.1,477.0,6.5,61.0
66,tt0083728,7.0,1545.0,7.0,1045.0,7.4,124.0,8.5,2.0,10.0,1.0,7.0,1.0,7.3,103.0,7.4,86.0,6.5,14.0,7.1,571.0,7.1,505.0,7.7,56.0,6.8,475.0,6.7,420.0,7.3,48.0
67,tt0084302,8.9,16238.0,8.8,10616.0,9.1,2137.0,7.7,5.0,8.3,3.0,6.5,2.0,9.0,1768.0,9.0,1373.0,9.0,357.0,8.8,7750.0,8.8,6427.0,9.0,1263.0,8.8,2843.0,8.7,2407.0,9.2,405.0
68,tt0084304,8.4,1108.0,8.4,625.0,8.2,79.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,73.0,8.2,65.0,9.2,8.0,8.5,457.0,8.5,398.0,8.5,54.0,7.9,112.0,8.0,105.0,6.2,7.0
69,tt0084555,7.5,9769.0,7.5,5960.0,7.4,1167.0,8.0,4.0,8.3,3.0,7.0,1.0,7.1,590.0,7.1,444.0,7.2,114.0,7.4,4074.0,7.4,3282.0,7.4,706.0,7.6,2338.0,7.6,2003.0,7.5,286.0
70,tt0090223,6.4,1323.0,6.4,851.0,6.3,125.0,7.5,2.0,9.0,1.0,6.0,1.0,5.9,23.0,5.6,16.0,5.5,7.0,6.4,207.0,6.5,181.0,5.6,25.0,6.4,729.0,6.4,629.0,6.4,90.0
71,tt0091507,7.0,1687.0,7.0,1128.0,7.0,208.0,8.0,1.0,0.0,0.0,8.0,1.0,7.1,110.0,7.0,79.0,7.3,28.0,7.1,590.0,7.1,483.0,7.0,97.0,6.9,611.0,6.9,531.0,6.8,75.0
72,tt0093433,7.7,1115.0,7.6,724.0,8.2,98.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.3,5.0,6.0,1.0,7.4,151.0,7.3,121.0,9.1,27.0,7.7,650.0,7.7,576.0,7.9,67.0
73,tt0093853,6.3,1032.0,6.2,595.0,7.1,115.0,6.0,1.0,6.0,1.0,0.0,0.0,5.6,14.0,5.3,7.0,6.3,7.0,5.8,120.0,5.7,99.0,6.7,20.0,6.3,541.0,6.2,451.0,7.2,81.0
74,tt0095715,7.4,13224.0,7.4,8201.0,7.6,1972.0,7.6,9.0,6.2,4.0,7.6,5.0,7.6,1348.0,7.6,1004.0,7.8,306.0,7.4,6494.0,7.4,5116.0,7.6,1288.0,7.2,2133.0,7.2,1798.0,7.7,298.0
75,tt0097195,7.4,1386.0,7.4,927.0,7.3,104.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,40.0,7.7,35.0,8.3,3.0,7.5,501.0,7.4,448.0,7.3,47.0,7.2,478.0,7.3,424.0,7.2,50.0
76,tt0099052,6.5,71866.0,6.5,46491.0,6.5,7687.0,8.3,6.0,8.6,5.0,6.0,1.0,6.5,2365.0,6.5,1903.0,6.3,397.0,6.5,32465.0,6.5,27482.0,6.4,4617.0,6.4,17796.0,6.4,15251.0,6.6,2290.0
77,tt0099263,7.8,1376.0,7.6,711.0,8.2,335.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,47.0,7.6,36.0,7.9,9.0,7.8,721.0,7.7,475.0,8.3,234.0,7.5,255.0,7.4,174.0,7.5,77.0
78,tt0099768,6.9,4288.0,6.9,2971.0,6.8,327.0,9.0,1.0,9.0,1.0,0.0,0.0,6.8,106.0,6.8,90.0,6.7,12.0,6.8,1319.0,6.9,1171.0,6.7,127.0,7.0,1829.0,7.0,1628.0,6.9,178.0
79,tt0099844,7.0,1841.0,6.9,1229.0,7.2,141.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,117.0,7.1,99.0,7.8,15.0,6.8,832.0,6.8,725.0,6.7,90.0,7.2,413.0,7.1,375.0,8.3,31.0
80,tt0142249,6.6,2449.0,6.7,1627.0,7.0,118.0,7.5,2.0,7.5,2.0,0.0,0.0,6.6,381.0,6.6,345.0,7.1,27.0,6.7,1172.0,6.7,1080.0,7.0,77.0,6.7,116.0,6.6,103.0,6.2,11.0
81,tt0180659,7.4,1789.0,7.4,1187.0,7.6,173.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,276.0,7.3,225.0,8.5,46.0,7.6,827.0,7.6,722.0,7.2,99.0,6.5,207.0,6.5,187.0,6.9,20.0
82,tt0181182,7.6,2679.0,7.5,1677.0,7.7,285.0,6.0,1.0,6.0,1.0,0.0,0.0,7.6,361.0,7.5,286.0,8.1,69.0,7.7,1213.0,7.7,1027.0,7.6,175.0,6.8,304.0,6.7,275.0,7.0,29.0
83,tt0082817,6.3,20481.0,6.3,14728.0,6.3,976.0,8.0,2.0,8.0,2.0,0.0,0.0,6.3,492.0,6.3,435.0,5.9,41.0,6.2,7160.0,6.2,6698.0,6.2,386.0,6.4,7611.0,6.4,6989.0,6.4,511.0
84,tt0084807,7.6,1491.0,7.5,1006.0,7.7,128.0,7.7,3.0,8.0,2.0,7.0,1.0,7.7,137.0,7.7,112.0,7.6,21.0,7.5,608.0,7.5,532.0,7.6,67.0,7.5,377.0,7.4,334.0,8.2,35.0
85,tt0089746,7.2,1616.0,7.2,1044.0,7.2,146.0,8.0,1.0,8.0,1.0,0.0,0.0,7.4,96.0,7.5,77.0,7.4,16.0,7.3,546.0,7.3,478.0,7.2,56.0,7.0,528.0,7.0,456.0,7.0,64.0
86,tt0089755,7.1,81942.0,7.0,42182.0,7.6,18432.0,7.1,10.0,7.3,7.0,7.0,3.0,7.0,4385.0,6.8,2623.0,7.4,1619.0,7.0,29370.0,6.9,19478.0,7.5,9490.0,7.3,24877.0,7.1,18173.0,7.9,6248.0
87,tt0089791,7.0,54499.0,7.0,34442.0,7.1,6834.0,7.8,9.0,7.8,9.0,0.0,0.0,6.9,2811.0,6.9,2225.0,6.9,528.0,6.9,23962.0,6.9,19715.0,7.0,3992.0,7.0,13408.0,7.0,11229.0,7.2,1986.0
88,tt0089853,7.7,52673.0,7.7,32863.0,7.7,7817.0,8.7,12.0,9.4,8.0,7.5,4.0,7.8,4010.0,7.8,3033.0,7.9,885.0,7.7,21450.0,7.7,16959.0,7.8,4233.0,7.6,14307.0,7.6,11690.0,7.6,2398.0
89,tt0090679,6.8,1081.0,6.8,646.0,7.2,214.0,10.0,2.0,10.0,1.0,10.0,1.0,7.0,98.0,6.8,51.0,9.1,47.0,6.9,290.0,6.9,234.0,7.0,54.0,6.8,456.0,6.7,340.0,7.2,108.0
90,tt0092117,7.2,6922.0,7.1,4313.0,7.4,649.0,8.7,3.0,8.7,3.0,0.0,0.0,7.8,528.0,7.8,440.0,7.8,64.0,7.2,2128.0,7.1,1833.0,7.5,274.0,6.8,2192.0,6.8,1872.0,7.2,280.0
91,tt0092238,6.7,1329.0,6.6,867.0,7.0,123.0,7.2,4.0,8.0,1.0,7.0,3.0,7.3,73.0,7.2,61.0,7.5,10.0,6.7,373.0,6.7,320.0,6.5,47.0,6.5,516.0,6.5,451.0,6.9,56.0
92,tt0092751,6.2,2070.0,6.2,1452.0,6.2,139.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,87.0,6.9,65.0,6.5,18.0,6.4,722.0,6.4,645.0,6.6,68.0,5.9,745.0,5.9,686.0,5.5,47.0
93,tt0092929,7.2,10398.0,7.1,6622.0,7.4,1523.0,9.0,1.0,9.0,1.0,0.0,0.0,7.4,384.0,7.4,286.0,7.9,85.0,7.1,3393.0,7.1,2669.0,7.3,688.0,7.1,4260.0,7.1,3496.0,7.3,713.0
94,tt0093978,7.4,10422.0,7.4,6678.0,7.4,989.0,8.5,4.0,8.5,4.0,0.0,0.0,7.4,522.0,7.4,398.0,7.5,109.0,7.4,4252.0,7.4,3625.0,7.4,566.0,7.3,2742.0,7.3,2427.0,7.3,275.0
95,tt0095800,7.7,18355.0,7.7,12355.0,7.9,2100.0,8.7,5.0,8.7,3.0,6.0,2.0,7.6,736.0,7.7,563.0,7.6,152.0,7.7,8203.0,7.7,6917.0,7.9,1195.0,7.6,5235.0,7.6,4494.0,8.0,665.0
96,tt0095993,6.5,2655.0,6.3,1354.0,7.3,635.0,7.0,2.0,8.0,1.0,6.0,1.0,6.3,69.0,5.8,41.0,7.2,26.0,6.5,797.0,6.2,508.0,7.6,279.0,6.4,1048.0,6.3,738.0,7.2,298.0
97,tt0097383,6.3,1581.0,6.2,1024.0,6.6,199.0,8.0,1.0,8.0,1.0,0.0,0.0,6.2,64.0,6.2,43.0,6.1,20.0,6.2,503.0,6.2,398.0,6.6,97.0,6.3,627.0,6.2,547.0,6.7,74.0
98,tt0097607,6.4,6275.0,6.3,4486.0,6.5,445.0,9.0,1.0,9.0,1.0,0.0,0.0,6.3,117.0,6.2,106.0,7.7,8.0,6.4,2240.0,6.4,2049.0,6.5,180.0,6.3,2468.0,6.3,2186.0,6.4,252.0
99,tt0100928,6.5,12698.0,6.5,9165.0,6.5,751.0,9.0,2.0,9.0,2.0,0.0,0.0,6.8,390.0,6.8,333.0,7.0,48.0,6.5,3999.0,6.5,3696.0,6.5,256.0,6.5,5334.0,6.5,4838.0,6.4,430.0
