nconst,nconst_rating
nm0000169,7.94009216648036
nm0000170,6.883266285650872
nm0000171,7.930115422143988
nm0000172,8.55758234390039
nm0000173,7.433598510901298
nm0000174,7.888900523164389
nm0000175,9.201607848855703
nm0000176,7.526457897971727
nm0000177,6.259095627047857
nm0000178,7.859858309593226
nm0000179,7.711223855702066
nm0000180,8.181705542893168
nm0000181,5.7229398467914105
nm0000182,6.174843291491978
nm0000183,6.791607730557509
nm0000184,8.437557924838892
nm0000185,6.284978243741933
nm0000186,7.965132408575031
nm0000187,6.425683891373333
nm0000188,6.3565308649564845
nm0000189,5.715015505141178
nm0000190,7.407929696324894
nm0000191,7.815974860665245
nm0000192,6.724508846470925
nm0000193,6.200388259046436
nm0000194,7.749286454918942
nm0000195,7.630413500149338
nm0000196,6.417222165940633
nm0000197,8.453501269356515
nm0000198,8.66937655670714
nm0000199,8.903228794483809
nm0000200,7.855668246286419
nm0000201,6.647836436257807
nm0000202,7.38263253920545
nm0000203,7.87276859480062
nm0000204,8.191550832929371
nm0000205,6.291691700176252
nm0000206,8.149227117198748
nm0000207,6.450489706715592
nm0000208,7.479645438668735
nm0000209,7.574402537955229
nm0000210,7.062937777017293
nm0000211,6.6205977764163535
nm0000212,7.026448299383417
nm0000213,7.654943419952374
nm0000214,7.348292223724401
nm0000215,7.236099936106755
nm0000216,8.107814824236899
nm0000217,8.388314366389224
nm0000218,6.931844610406495
nm0000219,5.979810742777266
nm0000220,6.406790585536102
nm0000221,7.005721943525749
nm0000222,5.885874371006954
nm0000223,7.152470264068175
nm0000224,5.3766723839153165
nm0000225,7.11021388327436
nm0000226,7.218223661507471
nm0000227,6.405156188988677
nm0000228,8.472212044359832
nm0000229,8.614600208961024
nm0000230,7.5745385268983885
nm0000231,7.744592541145995
nm0000232,7.602940678221762
nm0000233,8.386761983917154
nm0000234,7.586478904118221
nm0000235,8.234019951895387
nm0000236,6.234340823419983
nm0000237,8.57389200118156
nm0000238,6.535883747203332
nm0000239,8.592378949014556
nm0000240,7.099232931966097
nm0000241,6.041519471247956
nm0000242,7.954754303820507
nm0000243,7.305285226739987
nm0000244,7.9330492476575145
nm0000245,7.868012909590991
nm0000246,8.56105801458935
nm0000247,7.345541553739936
nm0000248,3.929353806532174
nm0000249,7.121755721043444
nm0000250,7.120071209198001
