tconst,avg(nconst_rating)
tt0021133,6.985452387269286
tt0021149,7.337276387543958
tt0021152,6.838219425246625
tt0021156,8.036569309342191
tt0021192,6.582392252120721
tt0021206,6.390709982529069
tt0021216,6.913476193674922
tt0021218,6.988349365954282
tt0021219,6.88480446337214
tt0021223,6.854199363402178
tt0021225,7.265280449134481
tt0021228,7.422072300516044
tt0021232,7.75284648435202
tt0021239,5.972369984424368
tt0021264,6.390709982529069
tt0021272,7.5657323664842755
tt0021273,6.890073093425336
tt0021276,7.337276387543958
tt0021279,6.470375010456532
tt0021295,8.204489937209843
tt0021297,7.833259298252879
tt0021308,6.780974521480474
tt0021310,7.659196311075348
tt0021324,6.360345327594042
tt0021327,6.661597819448235
tt0021334,7.707652681269721
tt0021342,7.598804839811955
tt0021357,7.303434103921807
tt0021369,6.836832321320364
tt0021374,7.821645735153222
tt0021376,7.690874314326907
tt0021377,6.725990475225453
tt0021381,6.736275575821752
tt0021393,6.8651974187214595
tt0021395,8.141904794224478
tt0021396,7.328431609472317
tt0021400,7.764652825484442
tt0021401,6.772474046635161
tt0021412,7.382776210713526
tt0021418,7.120437745065502
tt0021420,7.173532686535437
tt0021458,7.181887967563119
tt0021463,7.77780222237954
tt0021472,7.569065587626021
tt0021483,6.921729620596847
tt0021492,6.180965799215427
tt0021493,7.201458243822401
tt0021503,7.000149557841317
tt0021508,7.075046594988765
tt0021514,7.0168166703841095
tt0021535,6.232640224567241
tt0021548,7.396168372617315
tt0021567,7.2511555189673755
tt0021568,7.043170941146556
tt0021577,7.1968601369084455
tt0021578,6.47176574962229
tt0021582,7.024089500495054
tt0021605,7.209510378085047
tt0021606,6.7421998557263345
tt0021622,7.327051986565547
tt0021633,7.592507182417225
tt0021636,7.1531470535520425
tt0021649,6.783413253329712
tt0021657,7.4909363573724805
tt0021661,7.156143959082014
tt0021671,6.926999893007424
tt0021673,7.46145295274705
tt0021680,7.5821054723425005
tt0021681,6.751007566488133
tt0021684,6.963427042182317
tt0021691,6.578460000528281
tt0021696,7.161340732372213
tt0021717,6.6604733216860454
tt0021731,6.227139988352714
tt0021732,7.474653049150743
tt0021735,7.115009216847684
tt0021746,7.173463141443083
tt0021750,7.455583292529719
tt0021756,7.14619572111089
tt0021759,7.664853196149653
tt0021761,7.836725690802131
tt0021764,7.31416202963462
tt0021774,6.705150222910017
tt0021778,8.04197644516345
tt0021800,7.750007127127574
tt0021804,7.337276387543958
tt0021811,7.328800904147706
tt0021813,6.828437631247375
tt0021821,7.4069069849821405
tt0021825,6.58280050292688
tt0021829,7.114843063331509
tt0021836,7.7047430841227005
tt0021841,7.935047471238627
tt0021846,6.836788263468776
tt0021852,6.6579272527247415
tt0021861,6.8578024660192
tt0021864,7.052314111838441
tt0021867,6.9280741681011335
tt0021868,7.530281490637896
tt0021885,7.1473596521050995
tt0021889,6.830528806466022
tt0021898,8.091728659851325
tt0021899,7.628151432410601
tt0021907,7.307238548793554
tt0021911,7.077753932498606
tt0021917,6.835692344596488
tt0021919,7.266931148630104
tt0021920,7.221762588454633
tt0021932,7.055544351392346
tt0021947,7.402026376914314
tt0021963,7.167011339774909
tt0021969,7.128820056465039
tt0021978,7.668790974286703
tt0021981,6.828263694731416
tt0021984,6.973558404148802
tt0021986,7.260869029532978
tt0021988,7.281765737864601
tt0021991,7.621882284102156
tt0021992,7.61688488599943
tt0022001,7.507671666343593
tt0022002,7.542272208148074
tt0022006,7.432687584003695
tt0022015,7.77388658222754
tt0022019,6.776432393277924
tt0022022,7.495872700377727
tt0022032,7.443109084728345
tt0022043,7.427683513570089
tt0022059,8.019226677008813
tt0022064,6.740382155959828
tt0022074,7.942366413673
tt0022100,8.279280254533605
tt0022106,7.173052623712455
tt0022112,6.844753157509362
tt0022115,6.572422835017105
tt0022119,7.975134679669586
tt0022121,7.289087262605341
tt0022123,7.636616556546401
tt0022132,6.610501999010664
tt0022134,7.189027405526713
tt0022139,7.715288282729412
tt0022153,7.688938449474378
tt0022154,6.518269811905241
tt0022175,6.114551135109436
tt0022177,7.246537939602661
tt0022178,7.749344652942035
tt0022180,6.475407794436684
tt0022191,6.572551917532013
tt0022201,7.191355652530465
tt0022206,6.915764677827898
